ROW_ID,TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION,UDI_level,SUN_level,RAD_level,exposure_score,spatial_label,sun_h_day_estimated,sun_norm,radiation_norm,udi_norm,tile_light_index,cluster_0_score,cluster_1_score,cluster_2_score,cluster_3_score,bridge_cluster_0_probability,bridge_cluster_1_probability,bridge_cluster_2_probability,bridge_cluster_3_probability,plant_cluster_target,plant_cluster_target_label,bridge_top1_probability,bridge_top2_cluster,bridge_top3_cluster,bridge_margin,bridge_source_clusters
0,TILE_000,0,0.0,0.5,0.2,0.2,90.575,306.5,58.59,5,1,1,2.8000000000000003,medium_indirect,0.8397260273972603,0.08731878020329945,0.07314762175478493,0.9060759493670887,0.16281747581784684,0.0006301584641032335,0.9385774667891988,0.9762897170571383,0.9035044068770366,0.0006250522280277584,0.32475205634210547,0.4175803535622134,0.25704253786765335,2,bridge_cluster_2,0.4175803535622134,1,3,0.09282829722010794,cluster_3
1,TILE_001,0,0.0,0.5,0.2,0.2,84.25,316.0,74.436,5,1,1,2.8000000000000003,medium_indirect,0.8657534246575342,0.09048491918013664,0.10317604699639948,0.8420253164556962,0.17134996642501088,0.000747050120635529,0.9297267640457909,0.9831047069882031,0.8935808804040656,0.0006354862922185276,0.31101257149506745,0.4439386100082233,0.24441333220449066,2,bridge_cluster_2,0.4439386100082233,1,3,0.13292603851315588,cluster_3
2,TILE_002,0,0.0,0.5,0.2,0.2,72.44,381.0,93.034,5,1,1,2.8000000000000003,medium_indirect,1.0438356164383562,0.11214797533744376,0.1384195565662308,0.7224303797468354,0.1849984273313371,0.0009814552168036744,0.9148442521492375,0.9941458870094662,0.8768496045048666,0.0006503069882933503,0.2877545639555502,0.4882294472023096,0.22336568185384684,2,bridge_cluster_2,0.4882294472023096,1,3,0.20047488324675938,cluster_3
3,TILE_003,0,0.0,0.5,0.2,0.2,65.04,361.0,107.593,5,1,1,2.8000000000000003,medium_indirect,0.989041095890411,0.10548241959673388,0.16600909607731665,0.647493670886076,0.18692054914193035,0.0010157202752534475,0.9126871196481228,0.9947787843725606,0.875106526754307,0.0006534776686464111,0.284963872969957,0.4925717698379004,0.22181087952349635,2,bridge_cluster_2,0.4925717698379004,1,3,0.2076078968679434,cluster_3
4,TILE_004,0,0.0,0.5,0.2,0.2,57.32,443.0,118.516,5,1,1,2.8000000000000003,medium_indirect,1.2136986301369863,0.1328111981336444,0.1867083570210347,0.5693164556962025,0.20071544538922584,0.001335044119873392,0.8968547201230204,0.9984320510737758,0.8454971753806055,0.0006938165826551407,0.27166875993517375,0.5347320263929608,0.19290539708921028,2,bridge_cluster_2,0.5347320263929608,1,3,0.26306326645778705,cluster_3
5,TILE_005,0,0.0,0.5,0.2,0.2,51.81,526.0,125.926,5,1,1,2.8000000000000003,medium_indirect,1.441095890410959,0.1604732544575904,0.20075042637862422,0.5135189873417721,0.2139025551104738,0.001740187375514481,0.8812922654380146,0.999928851376531,0.7889284362146923,0.0007578465181881732,0.2667751380482415,0.5883468746852654,0.14412014074830495,2,bridge_cluster_2,0.5883468746852654,1,3,0.3215717366370239,cluster_3
6,TILE_006,0,0.0,0.5,0.2,0.2,50.63,536.0,129.158,5,1,1,2.8000000000000003,medium_indirect,1.4684931506849315,0.16380603232794536,0.2068751184385067,0.5015696202531645,0.21696347987021986,0.0018449639772350648,0.8776413945051235,0.9999985793223896,0.7787223954563149,0.0007704101984413712,0.2644919165152501,0.597960832850902,0.13677684043540653,2,bridge_cluster_2,0.597960832850902,1,3,0.33346891633565184,cluster_3
7,TILE_007,0,0.0,0.5,0.2,0.2,53.75,469.0,124.883,5,1,1,2.8000000000000003,medium_indirect,1.284931506849315,0.14147642059656723,0.1987739245783589,0.5331645569620252,0.2064291110249193,0.0014924401579731097,0.8901513036646737,0.9993183689554772,0.828668207367922,0.0007154183815498804,0.2676030337244531,0.5540667130968797,0.17761483479711732,2,bridge_cluster_2,0.5540667130968797,1,3,0.2864636793724266,cluster_3
8,TILE_008,0,0.0,0.5,0.2,0.2,70.0,284.0,97.321,5,1,1,2.8000000000000003,medium_indirect,0.7780821917808219,0.07982002999500083,0.14654349061967026,0.6977215189873418,0.17163573617533617,0.0007495066793875348,0.9294238152983164,0.9743600716179692,0.8932455237961832,0.0006526710369838881,0.31877324170618637,0.43011604789486535,0.25045803936196437,2,bridge_cluster_2,0.43011604789486535,1,3,0.11134280618867898,cluster_3
9,TILE_009,0,0.0,0.5,0.2,0.2,96.505,188.5,47.65,5,1,1,2.8000000000000003,medium_indirect,0.5164383561643836,0.04799200133311115,0.052416145537237065,0.966126582278481,0.14179632431950479,0.0004078465241480667,0.9585140012599811,0.9051992482308308,0.9269454156821597,0.0006696475844335704,0.3979676284973154,0.27892389858380556,0.3224388253344456,1,bridge_cluster_1,0.3979676284973154,3,2,0.07552880316286975,"cluster_1, cluster_4"
