model,accuracy,macro_f1
random_forest,0.9997679814385151,0.9992013351931845
logistic_regression,0.9969837587006961,0.9936024489911134
svm,0.9935034802784223,0.9823165688781029
knn,0.9568445475638051,0.8167316753144487
