BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
180,0.2,0.8,0.0,0.5,100,10.757449999999999,1587.595,290.03893
180,0.2,0.8,0.0,0.2,100,21.781599999999997,1240.025,234.28471000000002
180,0.2,0.5,0.8,0.0,100,17.1632,926.085,252.56095000000002
180,0.2,0.5,0.5,0.0,100,27.99785,773.335,205.67343
180,0.2,0.5,0.2,0.0,100,43.1805,667.305,162.32863
180,0.2,0.5,0.0,0.8,100,11.148299999999999,1560.315,288.4509
180,0.2,0.5,0.0,0.5,100,20.725700000000003,1154.88,229.58733
180,0.2,0.5,0.0,0.2,100,37.3471,807.31,172.33721000000003
180,0.2,0.2,0.8,0.0,100,28.457849999999997,613.525,192.96080999999998
180,0.2,0.2,0.5,0.0,100,44.116350000000004,460.775,145.64221
180,0.2,0.2,0.2,0.0,100,65.34275,354.745,101.20748999999999
180,0.2,0.2,0.0,0.8,100,22.9043,1247.755,230.27540000000002
180,0.2,0.2,0.0,0.5,100,37.99305,842.32,169.95421
180,0.2,0.2,0.0,0.2,100,62.1212,494.75,111.61656
180,0.2,0.0,0.8,0.8,100,10.937750000000001,1354.7,308.47963
180,0.2,0.0,0.8,0.5,100,18.1159,949.265,248.87429
180,0.2,0.0,0.8,0.2,100,28.46645,601.695,191.17396
180,0.2,0.0,0.5,0.8,100,17.9965,1201.95,262.39973000000003
180,0.2,0.0,0.5,0.5,100,28.99405,796.515,201.94313999999997
180,0.2,0.0,0.5,0.2,100,44.474650000000004,448.945,144.09322
180,0.8,0.8,0.8,0.0,100,3.04525,1593.905,397.33961999999997
270,0.0,0.2,0.2,0.5,100,38.15225,852.29,170.63297999999998
180,0.0,0.2,0.2,0.5,100,38.1289,852.29,170.8125
270,0.8,0.0,0.2,0.2,100,28.5865,578.02,189.12749
270,0.5,0.8,0.5,0.0,100,10.2301,1306.785,308.95643
270,0.5,0.8,0.2,0.0,100,16.7454,1200.755,266.88213
270,0.5,0.8,0.0,0.8,100,3.3586,2093.765,388.35110000000003
270,0.5,0.8,0.0,0.5,100,7.501,1688.33,331.28054
270,0.5,0.8,0.0,0.2,100,14.0091,1340.76,276.28686
270,0.5,0.5,0.8,0.0,100,10.0343,1026.82,293.57572
270,0.5,0.5,0.5,0.0,100,17.261400000000002,874.07,247.40437000000003
270,0.5,0.5,0.2,0.0,100,27.84705,768.04,204.80187999999998
270,0.5,0.5,0.0,0.8,100,7.64245,1661.05,329.54328000000004
270,0.5,0.5,0.0,0.5,100,13.82425,1255.615,271.19142
270,0.5,0.5,0.0,0.2,100,24.2125,908.045,215.00204000000002
270,0.5,0.2,0.8,0.0,100,15.59045,714.26,234.46124
270,0.5,0.2,0.5,0.0,100,27.256950000000003,561.51,187.95815
270,0.5,0.2,0.2,0.0,100,44.20995,455.48,144.60771
270,0.5,0.2,0.0,0.8,100,14.67055,1348.49,272.15377
270,0.5,0.2,0.0,0.5,100,24.811950000000003,943.055,212.63977
270,0.5,0.2,0.0,0.2,100,41.8964,595.485,154.95505
270,0.5,0.0,0.8,0.8,100,6.56675,1455.435,348.44298000000003
270,0.5,0.0,0.8,0.5,100,10.844349999999999,1050.0,289.32638
270,0.5,0.0,0.8,0.2,100,16.43305,702.43,232.98282
270,0.5,0.0,0.5,0.8,100,11.0976,1302.685,303.28566
270,0.5,0.0,0.5,0.5,100,18.307550000000003,897.25,243.4486
270,0.5,0.0,0.5,0.2,100,27.683600000000002,549.68,186.37391
270,0.5,0.8,0.8,0.0,100,5.96755,1459.535,354.32843
270,0.8,0.0,0.2,0.5,100,17.84045,925.59,246.83336
270,0.5,0.0,0.2,0.5,100,28.7162,791.22,200.93081
270,0.8,0.0,0.2,0.8,100,10.84895,1331.025,306.36224999999996
