,UDI,UDI,UDI,SUN_HOURS,SUN_HOURS,SUN_HOURS,RADIATION,RADIATION,RADIATION,exposure_score,exposure_score,exposure_score
,mean,min,max,mean,min,max,mean,min,max,mean,min,max
spatial_label,,,,,,,,,,,,
bright_indirect,9.35,1.1,57.15,1610.22,229.0,3045.0,325.35,116.77,547.69,3.27,3.1,4.0
high_light,8.98,8.96,9.01,1712.0,1712.0,1712.0,364.61,363.3,365.37,4.1,4.1,4.1
medium_indirect,27.15,1.1,99.85,791.59,44.5,2621.0,212.7,19.99,499.96,2.81,2.25,3.05
shade_tolerant,4.62,2.05,7.56,430.26,231.0,616.0,269.43,222.53,312.91,2.11,1.7,2.15
