,count,mean,std,min,25%,50%,75%,max
tempmin_celsius,209.0,11.69377990430622,4.033752973036256,-5.0,10.0,12.0,15.0,18.0
tempmax_celsius,209.0,29.492822966507177,2.4614716072537086,22.0,28.0,30.0,30.0,40.0
