TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_096,0,0,0.5,0.2,0.2,43.01,644,132.571
TILE_097,0,0,0.5,0.2,0.2,56.33,500,121.316
TILE_098,0,0,0.5,0.2,0.2,79.23,266,92.348
TILE_099,0,0,0.5,0.2,0.2,95.835,214.5,40.234
TILE_000,0,0,0.8,0.2,0.2,81.75,481,80.204
TILE_001,0,0,0.8,0.2,0.2,71.32,524,97.946
TILE_002,0,0,0.8,0.2,0.2,54.25,529,120.105
TILE_003,0,0,0.8,0.2,0.2,41.18,617,135.489
TILE_004,0,0,0.8,0.2,0.2,33.04,693,156.688
TILE_005,0,0,0.8,0.2,0.2,27.12,769,173.223
TILE_006,0,0,0.8,0.2,0.2,22.99,894,190.628
TILE_007,0,0,0.8,0.2,0.2,19.64,922,207.519
TILE_008,0,0,0.8,0.2,0.2,20.3,895,212.258
TILE_009,0,0,0.8,0.2,0.2,42.545,619.5,150.425
TILE_010,0,0,0.8,0.2,0.2,77.01,597,92.615
TILE_011,0,0,0.8,0.2,0.2,53.64,694,117.941
TILE_012,0,0,0.8,0.2,0.2,35.84,753,145.805
TILE_013,0,0,0.8,0.2,0.2,27.73,892,166.221
TILE_014,0,0,0.8,0.2,0.2,22.47,968,184.319
TILE_015,0,0,0.8,0.2,0.2,17.48,1048,207.65
TILE_016,0,0,0.8,0.2,0.2,14.16,1192,233.53
TILE_017,0,0,0.8,0.2,0.2,11.34,1308,268.457
TILE_018,0,0,0.8,0.2,0.2,10.3,1536,309.973
TILE_019,0,0,0.8,0.2,0.2,16.88,1171,277.611
TILE_020,0,0,0.8,0.2,0.2,63.42,747,106.032
TILE_021,0,0,0.8,0.2,0.2,35.4,876,153.252
TILE_022,0,0,0.8,0.2,0.2,23.01,973,182.817
TILE_023,0,0,0.8,0.2,0.2,18.41,1151,198.667
TILE_024,0,0,0.8,0.2,0.2,14.14,1271,216.893
TILE_025,0,0,0.8,0.2,0.2,12.03,1411,241.976
TILE_026,0,0,0.8,0.2,0.2,10.16,1608,273.699
TILE_027,0,0,0.8,0.2,0.2,8.58,1682,316.933
TILE_028,0,0,0.8,0.2,0.2,6.88,1698,353.361
TILE_029,0,0,0.8,0.2,0.2,14.25,1272,290.7
TILE_030,0,0,0.8,0.2,0.2,53.67,916,117.666
TILE_031,0,0,0.8,0.2,0.2,22.58,1067,187.14
TILE_032,0,0,0.8,0.2,0.2,16.05,1193,219.299
TILE_033,0,0,0.8,0.2,0.2,12.44,1490,231.808
TILE_034,0,0,0.8,0.2,0.2,11.32,1612,244.906
TILE_035,0,0,0.8,0.2,0.2,8.9,1694,270.776
TILE_036,0,0,0.8,0.2,0.2,7.18,1772,302.305
TILE_037,0,0,0.8,0.2,0.2,5.53,1776,340.343
TILE_038,0,0,0.8,0.2,0.2,4.33,1682,370.996
TILE_039,0,0,0.8,0.2,0.2,14.05,1231,296.193
TILE_040,0,0,0.8,0.2,0.2,46.03,1102,126.417
TILE_041,0,0,0.8,0.2,0.2,17.84,1385,214.834
TILE_042,0,0,0.8,0.2,0.2,12.66,1503,251.932
TILE_043,0,0,0.8,0.2,0.2,8.44,1709,258.749
TILE_044,0,0,0.8,0.2,0.2,8.03,1712,265.36
TILE_045,0,0,0.8,0.2,0.2,6.47,1749,288.75
TILE_046,0,0,0.8,0.2,0.2,5.07,1718,315.784
TILE_047,0,0,0.8,0.2,0.2,3.32,1709,353.18
TILE_048,0,0,0.8,0.2,0.2,3.01,1666,379.832
TILE_049,0,0,0.8,0.2,0.2,13.64,1221,297.442
TILE_050,0,0,0.8,0.2,0.2,42.68,1152,131.948
TILE_051,0,0,0.8,0.2,0.2,16.82,1307,220.766
TILE_052,0,0,0.8,0.2,0.2,11.92,1382,257.616
TILE_053,0,0,0.8,0.2,0.2,8.03,1673,269.795
TILE_054,0,0,0.8,0.2,0.2,6.33,1645,279.39
TILE_055,0,0,0.8,0.2,0.2,5.12,1794,296.227
TILE_056,0,0,0.8,0.2,0.2,3.67,1746,323.998
TILE_057,0,0,0.8,0.2,0.2,2.74,1692,356.656
TILE_058,0,0,0.8,0.2,0.2,2.58,1666,386.217
TILE_059,0,0,0.8,0.2,0.2,12.19,1222,303.59
TILE_060,0,0,0.8,0.2,0.2,43.23,1038,131.403
TILE_061,0,0,0.8,0.2,0.2,19.81,1034,207.002
TILE_062,0,0,0.8,0.2,0.2,13.1,1082,245.596
TILE_063,0,0,0.8,0.2,0.2,8.25,1404,259.843
TILE_064,0,0,0.8,0.2,0.2,6.82,1465,276.13
TILE_065,0,0,0.8,0.2,0.2,5.67,1712,296.812
TILE_066,0,0,0.8,0.2,0.2,4.49,1767,325.591
TILE_067,0,0,0.8,0.2,0.2,2.9,1695,358.858
TILE_068,0,0,0.8,0.2,0.2,2.52,1683,386.007
TILE_069,0,0,0.8,0.2,0.2,12.05,1283,309.288
TILE_070,0,0,0.8,0.2,0.2,54,1077,128.565
TILE_071,0,0,0.8,0.2,0.2,25.56,1120,187.228
TILE_072,0,0,0.8,0.2,0.2,16.44,1126,225.93
TILE_073,0,0,0.8,0.2,0.2,10.85,1285,252.649
TILE_074,0,0,0.8,0.2,0.2,7.92,1328,274.177
TILE_075,0,0,0.8,0.2,0.2,6.85,1590,299.573
TILE_076,0,0,0.8,0.2,0.2,5.15,1761,321.977
TILE_077,0,0,0.8,0.2,0.2,4.19,1814,351.631
TILE_078,0,0,0.8,0.2,0.2,3.7,1917,381.099
TILE_079,0,0,0.8,0.2,0.2,10.96,1478,307.915
TILE_080,0,0,0.8,0.2,0.2,66.49,862,106.227
TILE_081,0,0,0.8,0.2,0.2,42.63,970,141.926
TILE_082,0,0,0.8,0.2,0.2,25.29,1125,189.018
TILE_083,0,0,0.8,0.2,0.2,19.45,1327,231.239
TILE_084,0,0,0.8,0.2,0.2,14.58,1506,259.909
TILE_085,0,0,0.8,0.2,0.2,10.14,1648,281.071
TILE_086,0,0,0.8,0.2,0.2,8.63,1628,292.153
TILE_087,0,0,0.8,0.2,0.2,8.3,1570,306.529
TILE_088,0,0,0.8,0.2,0.2,6.9,1711,331.693
TILE_089,0,0,0.8,0.2,0.2,15.95,1317,286.054
TILE_090,0,0,0.8,0.2,0.2,84.19,580,73.836
TILE_091,0,0,0.8,0.2,0.2,77.34,603,92.536
TILE_092,0,0,0.8,0.2,0.2,54.6,638,116.944
TILE_093,0,0,0.8,0.2,0.2,37.37,709,141.064
TILE_094,0,0,0.8,0.2,0.2,30.47,898,160.227
TILE_095,0,0,0.8,0.2,0.2,25.97,972,177.41
TILE_096,0,0,0.8,0.2,0.2,22.58,937,191.184
TILE_097,0,0,0.8,0.2,0.2,19.62,887,202.806
TILE_098,0,0,0.8,0.2,0.2,20.93,851,207.604
